"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","samples","LMG1401_004_QE003116","LMG1401_008_QE003117","LMG1401_009_QE003118","LMG1401_010_QE003119","PAL1314_Stn_E_3m_2Jan14_0.2um_QE003120","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"1194",1326,"PE 40:7","C45H76N1O8P1",790.53813198,790.538167531416,-0.044971158646106,930.725705885238,790.537917977307,790.539323959567,929.62728188659,931.354208885564,5,12.7509391573644,10.7614459762413,9.7194524787981,9.10364354989871,3.90763363324487,13925,50,23807,789.53085552,"IP_DAG","PE","[M+H]+",40,7,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","1326, 1327","",NA,0,1,NA,0
"1464",1329,"MGDG 34:3","C43H76O10",770.57767483,770.576743326103,1.20883841770924,926.231918078591,770.574391250691,770.57725527921,924.59200541579,928.200798816837,5,0.754437843018088,2.38936193945323,2.10076083626717,1.17019888978223,2.06931661330172,13145,50,53105,752.54384924,"IP_DAG","MGDG","[M+NH4]+",34,3,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","1329, 4102","1329, 1330, 1353, 1354","",NA,0,1,NA,0
"1567",1355,"PE 39:6","C44H76N1O8P1",778.53813198,778.538581220591,-0.577030940866366,926.231918078591,778.538560206121,778.538639352445,924.364442625235,927.360874461459,3,34.1929941093924,3.83378537212478,23.5658233738747,6.79559662292068,2.60995897662936,13421,50,23557,777.53085552,"IP_DAG","PE","[M+H]+",39,6,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","908, 1355","1355, 1356","",NA,0,1,NA,0
"1195",1366,"MGDG 34:6","C43H70O10",764.53072459,764.531716317522,-1.29717157260179,707.209308456574,764.531539555431,764.550024043403,704.063092121346,707.97107796676,5,2.70380850706072,7.17325450214996,5.00494046170287,4.50372470195269,2.05543227408692,12931,51,53180,746.496899,"IP_DAG","MGDG","[M+NH4]+",34,6,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","1366, 2262, 2506","1366, 1383, 1384","",NA,0,1,NA,0
"1764",1369,"MGDG 30:4","C39H66O10",712.49942443,712.500063950825,-0.897573812900608,710.223546227708,712.500005383695,712.500136472373,709.529213539167,711.135061200095,5,194.79375211158,18.4673878735126,22.3213778250839,22.2602289301434,12.9527258967974,10943,51,52280,694.46559884,"IP_DAG","MGDG","[M+NH4]+",30,4,0,0,0,0,1,0,1,1,0,0,0,0,"C2b; C3f; C3r","1369, 1549, 3398","1369, 1413, 1414","",0,3,1,NA,0
"3412",1370,"PG 34:6","C40H67O10P1",756.48101098,756.480983080005,0.0368812892280016,707.97107796676,756.480844746019,756.481177003605,706.51543388626,708.641942473518,3,10.804806782037,4.25412443129912,9.11651890531505,8.8069021450137,9.18324774192329,12597,51,29409,738.44718539,"IP_DAG","PG","[M+NH4]+",34,6,0,0,0,0,1,0,1,0,0,0,0,0,"C2b; C3f","","1370, 1381, 1382","",0,4,1,NA,0
"656",1374,"MGDG 38:10","C47H70O10",812.53072459,812.531065474779,-0.419534632307709,710.223546227708,812.530924495246,812.531209633054,709.529213539167,711.135061200095,5,14.275329210404,4.47656700641747,4.22622378812686,3.2630380076243,5.25291218299145,14801,51,54255,794.496899,"IP_DAG","MGDG","[M+NH4]+",38,10,0,0,0,1,0,0,0,1,0,0,0,0,"C2a; C3r","1374, 2498","","",NA,0,1,NA,0
"2291",1376,"SQDG 36:6","C45H74O12S1",856.52392468,856.524397785316,-0.55235505130383,716.517990764421,856.524297232616,856.525198182678,715.566044595705,717.115997816708,5,48.263427292621,55.8495629196803,55.2065631940669,48.9397719351694,5.410544319027,16492,51,46329,838.49009909,"IP_DAG","SQDG","[M+NH4]+",36,6,0,0,0,1,0,1,0,1,0,0,0,0,"C2a; C3c; C3r","1376, 1774","","1375, 1376",0,1,1,NA,0
"2611",1380,"SQDG 44:12","C53H78O12S1",956.55522484,956.556613013152,-1.45122112712951,715.566044595705,956.556267937691,956.557255151261,714.185754171378,716.628347762724,5,53.3947572986452,8.92625014032064,6.87540171805303,7.03522566742436,1.75285043998771,20347,51,48969,938.52139925,"IP_DAG","SQDG","[M+NH4]+",44,12,0,0,0,1,0,1,0,1,0,0,0,0,"C2a; C3c; C3r","1380, 3397","","1379, 1380",NA,0,1,NA,0
"19612",1425,"PG 34:4","C40H71O10P1",760.51231114,760.513520239361,-1.58984850581189,714.412855385041,760.512608536802,760.520339537504,707.209308456574,723.539936240888,4,22.4868789439824,11.5164879964901,8.81366839018162,0.732780771554782,6.36266736622294,12763,51,29349,742.47848555,"IP_DAG","PG","[M+NH4]+",34,4,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","1425, 2632","1424, 1425, 1426","",NA,0,1,NA,0
"2044",1430,"SQDG 30:2","C39H70O12S1",780.49262452,780.493243049527,-0.792486063249114,716.517990764421,780.493157872283,780.493243941732,715.727521447116,717.115997816708,3,8.84925027063371,30.3932693362326,83.9514271195347,34.5580684355808,0.26191218087711,13505,51,44619,762.45879893,"IP_DAG","SQDG","[M+NH4]+",30,2,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","1430, 1552","","",NA,1,1,NA,0
"238",1446,"DGDG 30:2","C45H80O15",878.58354809,878.583476691653,0.0812652907372466,710.92145960749,878.580686085971,878.583816698258,701.943096992514,712.137159351599,3,122.491717001574,11.5283531831465,2.90839989407083,6.91258411434427,33.5192515122016,17312,51,8152,860.5497225,"IP_DAG","DGDG","[M+NH4]+",30,2,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","1446, 2603","","",NA,0,1,NA,0
"250",1447,"DGDG 34:6","C49H80O15",926.58354809,926.584084414089,-0.578818920204348,712.992163781307,926.583920785045,926.584248043133,712.540298079488,713.444029483125,2,18.5794285763059,22.1185936938073,31.7169849402648,34.2399333007536,15.0087928876785,19219,51,9102,908.5497225,"IP_DAG","DGDG","[M+NH4]+",34,6,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","1447, 3049","","",NA,0,1,NA,0
"1209",1471,"MGDG 32:2","C41H74O10",744.56202475,744.562335654678,-0.417567196877399,873.265920211448,744.562244767107,744.562706216611,871.752481691091,874.147094201435,3,42.1187543352183,6.66888897752783,5.86367275138484,4.1534851746109,4.11429458415753,12157,55,52630,726.52819916,"IP_DAG","MGDG","[M+NH4]+",32,2,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","1190, 1471, 2421","1471, 1472, 1489, 1490","",6,6,1,0,NA
"608",1473,"SQDG 34:1","C43H80O12S1",838.57087492,838.571197244561,-0.384373665544138,871.657932939651,838.571001945587,838.571325996097,870.849219512062,871.834947561634,4,36.4709451058945,106.43488240937,85.5666403317467,55.039550813318,1.27511083222965,15817,55,45609,820.53704933,"IP_DAG","SQDG","[M+NH4]+",34,1,0,0,0,1,0,0,0,0,0,0,0,0,"C2a","","","",NA,0,1,NA,0
"11313",1474,"PE 30:1","C35H68N1O8P1",662.47553166,662.47608311114,-0.832409823156054,875.398219594585,662.475935539787,662.476125757678,873.878108353574,876.446205324323,5,34.5128577478145,24.8279202196443,28.0800140423656,20.0515827597931,11.4579301333235,9208,55,21332,661.4682552,"IP_DAG","PE","[M+H]+",30,1,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","1474, 1475","",NA,0,1,NA,0
"1234",1476,"PE 31:1","C36H70N1O8P1",676.49118174,676.492094551116,-1.34933187661082,876.923338990088,676.492044831508,676.492144270724,876.159131223279,877.687546756897,2,3.45179309417843,9.92022365938115,13.4575766870628,9.75064884897917,1.92315036467315,9695,55,21532,675.48390528,"IP_DAG","PE","[M+H]+",31,1,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","1476, 2392, 2432","1476, 1477","",NA,0,1,NA,0
