"UNC_Marchetti_diatom_cultures_IP-DAG_pmol_total_man_ann.csv, exported from first sheet of UNC_Marchetti_diatom_cultures_IP-DAG_pmol_totals.xlsx after manual curation was performed on the Marchetti diatom culture data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are in rm.flag_manual and complement the automatic removal flag annotations in rm.flag_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated for re-importation back into R at approx. line 1482 in PAL1314_PAL1516_environmental_samples.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto,rm.flag_manual,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,cultures,QC,Marchetti_diatom_culture_extract_A_act_1_QE002909,Marchetti_diatom_culture_extract_A_act_2_QE002910,Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911,Marchetti_diatom_culture_extract_F_cyl_1_QE002907,Marchetti_diatom_culture_extract_F_cyl_1_QE002908,Marchetti_diatom_culture_extract_Thalass_1_QE002905,Marchetti_diatom_culture_extract_Thalass_2_QE002906,QC_QE002903,QC_QE002915,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID
3209,NA,0,0,1,,3886,MGDG 23:2,C32H56O10,618.421174,618.4219053,-1.182503648,908.2484876,618.4219012,618.4219094,906.9184912,909.5784839,2,0,0,0,0,0,0.00745663,0.710384148,0.596537151,0,0,5973,4588,51105,600.3873484,IP_DAG,MGDG,[M+NH4]+,23,2,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"3884, 3885, 3886",
1626,NA,0,0,1,,1670,PE 27:1,C32H62N1O8P1,620.4285814,620.4292892,-1.140784458,474.6841338,620.4292856,620.4297727,472.0687878,475.6065174,3,0,0,0,0,0.346660564,0.686842024,0.384480794,0.257197887,0,0,6029,60,20757,619.421305,IP_DAG,PE,[M+H]+,27,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"1670, 4973, 5566","1670, 1671, 1672",
16111,NA,0,1,1,,1671,PC 24:1,C32H62N1O8P1,620.4285814,620.4292892,-1.140784458,474.6841338,620.4292856,620.4297727,472.0687878,475.6065174,3,0,0,0,0,0.249603368,0.494541636,0.27683478,0.185188237,0,0,6029,60,34852,619.421305,IP_DAG,PC,[M+H]+,24,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"1671, 4974, 5567","1670, 1671, 1672",
12090,NA,0,1,1,,4973,PE 27:1,C32H62N1O8P1,620.4285814,620.4286518,-0.113496696,743.642096,620.4285842,620.4287195,743.0432315,744.2409604,2,0,0,0,0,0,0,5.397534564,3.529500828,0,0,6025,9238,20757,619.421305,IP_DAG,PE,[M+H]+,27,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"1670, 4973, 5566","4973, 4974, 4975",
2617,NA,0,0,1,,4974,PC 24:1,C32H62N1O8P1,620.4285814,620.4286518,-0.113496696,743.642096,620.4285842,620.4287195,743.0432315,744.2409604,2,0,0,0,0,0,0,3.886345741,2.541319624,0,0,6025,9238,34852,619.421305,IP_DAG,PC,[M+H]+,24,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"1671, 4974, 5567","4973, 4974, 4975",
12445,NA,0,1,1,,5566,PE 27:1,C32H62N1O8P1,620.4285814,620.4283462,0.379104568,770.7338638,620.4283278,620.4283646,770.2050705,771.262657,2,0,0,0,0,0,0,1.461349431,0.973429139,0,0,6026,11700,20757,619.421305,IP_DAG,PE,[M+H]+,27,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"1670, 4973, 5566","5566, 5567, 5568",
2790,NA,0,0,1,,5567,PC 24:1,C32H62N1O8P1,620.4285814,620.4283462,0.379104568,770.7338638,620.4283278,620.4283646,770.2050705,771.262657,2,0,0,0,0,0,0,1.052204311,0.700890776,0,0,6026,11700,34852,619.421305,IP_DAG,PC,[M+H]+,24,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"1671, 4974, 5567","5566, 5567, 5568",
3390,NA,0,0,1,,5221,MGDG 23:1,C32H58O10,620.4368241,620.437769,-1.522934774,943.5939006,620.4377428,620.4377952,943.4819802,943.7058211,2,0,0,0,0,0,0,1.151128738,1.022118162,0,0,6030,10348,51080,602.4029985,IP_DAG,MGDG,[M+NH4]+,23,1,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"5219, 5220, 5221",
12205,NA,0,1,1,,5133,PE 27:0,C32H64N1O8P1,622.4442315,622.444019,0.341389802,805.9420295,622.4440115,622.4440265,805.3719677,806.5120913,2,0,0,0,0.010454102,0,0,7.57968825,5.106777108,0,0,6076,9986,20732,621.436955,IP_DAG,PE,[M+H]+,27,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"5133, 5134, 5135",
2659,NA,0,0,1,,5134,PC 24:0,C32H64N1O8P1,622.4442315,622.444019,0.341389802,805.9420295,622.4440115,622.4440265,805.3719677,806.5120913,2,0,0,0,0.007527187,0,0,5.457545254,3.676993862,0,0,6076,9986,34827,621.436955,IP_DAG,PC,[M+H]+,24,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"5133, 5134, 5135",
