Batch,scan003_Quartz_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Quartz_%T_190_to_800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:32:03PM
Entries,Data Points
nm,%T
325.20,95.0901
325.40,94.9825
325.60,94.9253
325.80,94.7042
326.00,95.0279
326.20,94.9761
326.40,95.0533
326.60,94.9421
326.80,94.9644
327.00,94.8813
327.20,94.9571
327.40,94.8901
327.60,95.0016
327.80,95.0894
328.00,95.0666
328.20,95.0476
328.40,95.0177
328.60,94.9481
328.80,94.9570
329.00,94.9231
329.20,95.0304
329.40,95.0262
329.60,95.0202
329.80,95.2058
330.00,94.9869
330.20,95.0421
330.40,94.8730
330.60,95.0330
330.80,94.9794
331.00,95.2191
331.20,94.7868
331.40,94.9665
331.60,95.0947
331.80,95.1533
332.00,94.8508
332.20,95.0596
332.40,94.9804
332.60,95.1221
332.80,95.1685
333.00,95.0811
333.20,95.2520
333.40,95.1412
333.60,95.2612
333.80,94.9741
334.00,95.3417
334.20,95.1609
334.40,95.0898
334.60,95.2810
334.80,94.9652
335.00,95.0909
335.20,95.1403
335.40,95.1627
335.60,95.0952
335.80,95.0028
336.00,95.1564
336.20,94.9893
336.40,95.0446
336.60,95.0782
336.80,95.0363
337.00,94.9163
337.20,95.2324
337.40,95.1279
337.60,95.2245
337.80,94.9824
338.00,95.0597
338.20,95.0496
338.40,95.2627
338.60,95.2692
338.80,95.2155
339.00,95.3750
339.20,95.2562
339.40,95.2576
339.60,95.2719
339.80,95.1431
340.00,95.1352
340.20,95.2409
340.40,95.1728
340.60,94.9585
340.80,95.1343
341.00,95.0303
341.20,95.1645
341.40,95.2399
341.60,95.0016
341.80,95.1530
342.00,95.1180
342.20,94.9299
342.40,95.1547
342.60,95.0815
342.80,95.1808
343.00,95.2681
343.20,95.1748
343.40,95.1740
343.60,95.2200
343.80,95.1729
344.00,95.2645
344.20,95.2650
344.40,95.2618
344.60,95.1146
344.80,95.1518
345.00,95.5008
345.20,95.0641
345.40,95.3865
345.60,95.2993
345.80,95.4633
346.00,95.3075
346.20,95.2775
346.40,95.3072
346.60,95.2812
346.80,95.2600
347.00,95.3704
347.20,95.4228
347.40,95.4669
347.60,95.3358
347.80,95.2685
348.00,95.3558
348.20,95.4016
348.40,95.3237
348.60,95.3801
348.80,95.4315
349.00,95.4349
349.20,95.2664
349.40,95.3618
349.60,95.2204
349.80,95.4258
350.00,95.3842
350.20,95.1666
350.40,95.4180
350.60,95.3166
350.80,95.4567
351.00,95.3169
351.20,95.3840
351.40,95.5800
351.60,95.3224
351.80,95.4103
352.00,95.5147
352.20,95.3379
352.40,95.2898
352.60,95.4280
352.80,95.5993
353.00,95.4276
353.20,95.3985
353.40,95.3090
353.60,95.4196
353.80,95.5087
354.00,95.3779
354.20,95.7125
354.40,95.3774
354.60,95.6538
354.80,95.6712
355.00,95.5335
355.20,95.5815
355.40,95.5194
355.60,95.5968
355.80,95.6503
356.00,95.7605
356.20,95.7136
356.40,95.6103
356.60,95.4785
356.80,95.5495
357.00,95.7409
357.20,95.4646
357.40,95.5789
357.60,95.5552
357.80,95.6186
358.00,95.8569
358.20,95.7108
358.40,95.7586
358.60,95.8430
358.80,95.7518
359.00,95.8456
359.20,95.7278
359.40,95.6079
359.60,95.1012
359.80,95.5737
360.00,95.8079
360.20,95.6677
360.40,95.6586
360.60,95.6490
360.80,95.6743
361.00,95.7791
361.20,95.6438
361.40,95.8436
361.60,95.8136
361.80,95.8111
362.00,95.7599
362.20,96.0493
362.40,95.7773
362.60,95.8513
362.80,95.8790
363.00,95.7270
363.20,96.0914
363.40,95.6410
363.60,95.8120
363.80,95.9295
364.00,95.6375
364.20,95.7995
364.40,95.6387
364.60,95.3862
364.80,95.7393
365.00,95.6040
365.20,95.7690
365.40,95.6760
365.60,95.6373
365.80,95.6423
366.00,95.7765
366.20,95.7637
366.40,95.6397
366.60,95.7719
366.80,95.5871
367.00,95.8165
367.20,95.7180
367.40,95.6210
367.60,95.2383
367.80,95.6307
368.00,95.8820
368.20,95.8178
368.40,95.9205
368.60,95.7545
368.80,95.6460
369.00,95.8604
369.20,95.6315
369.40,95.6535
369.60,95.7599
369.80,95.5873
370.00,95.6242
370.20,95.6370
370.40,95.6949
370.60,95.6613
370.80,95.9453
371.00,96.0362
371.20,95.7339
371.40,95.7757
371.60,95.7888
371.80,95.6997
372.00,95.6020
372.20,95.7875
372.40,95.9271
372.60,96.1463
372.80,95.8897
373.00,96.0112
373.20,95.8758
373.40,95.8689
373.60,95.6931
373.80,95.8928
374.00,95.7613
374.20,95.7879
374.40,95.8472
374.60,96.0336
374.80,95.8602
375.00,95.5676
375.20,96.1490
375.40,95.8216
375.60,96.0467
375.80,95.9979
376.00,96.0535
376.20,95.9921
376.40,95.9748
376.60,95.9154
376.80,96.1516
377.00,96.0530
377.20,96.1582
377.40,96.1863
377.60,96.2426
377.80,96.1758
378.00,96.3295
378.20,96.0777
378.40,96.2274
378.60,95.9240
378.80,96.1060
379.00,96.0507
379.20,95.8133
379.40,96.1471
379.60,95.5172
379.80,96.0790
380.00,95.9344
380.20,96.0993
380.40,95.9713
380.60,96.2224
380.80,96.0466
381.00,96.0984
381.20,95.8511
381.40,95.9809
381.60,96.0301
381.80,96.0008
382.00,96.0335
382.20,96.0923
382.40,95.9261
382.60,96.0585
382.80,96.3164
383.00,95.9440
383.20,96.1474
383.40,96.0434
383.60,96.1717
383.80,96.1170
384.00,96.4029
384.20,95.9534
384.40,96.1973
384.60,95.9905
384.80,96.2447
385.00,96.2109
385.20,95.9705
385.40,96.0679
385.60,95.7478
385.80,95.8489
386.00,96.1633
386.20,96.1846
386.40,96.2871
386.60,96.0223
386.80,96.1486
387.00,96.2753
387.20,96.3481
387.40,96.1694
387.60,96.3671
387.80,96.1688
388.00,96.5933
388.20,96.5233
388.40,96.3797
388.60,96.3447
388.80,96.3709
389.00,96.3880
389.20,96.3629
389.40,96.3569
389.60,96.1580
389.80,96.2074
390.00,96.4117
390.20,96.2054
390.40,96.2703
390.60,96.3164
390.80,96.3903
391.00,96.2714
391.20,96.3618
391.40,96.0518
391.60,96.7307
391.80,96.2380
392.00,96.3368
392.20,96.5708
392.40,96.1274
392.60,96.4809
392.80,96.3868
393.00,96.4448
393.20,96.5042
393.40,96.4091
393.60,96.3660
393.80,96.5287
394.00,96.2901
394.20,96.3244
394.40,96.4626
394.60,96.3312
394.80,96.3280
395.00,96.3200
395.20,95.7719
395.40,96.2294
395.60,96.3940
395.80,96.3435
396.00,96.3167
396.20,96.5602
396.40,96.4790
396.60,96.2671
396.80,96.2690
397.00,96.2915
397.20,96.4139
397.40,96.2626
397.60,96.4536
397.80,96.4647
398.00,96.4187
398.20,96.1521
398.40,96.4560
398.60,96.5204
398.80,96.3728
399.00,96.2425
399.20,96.4239
399.40,96.2276
399.60,96.2308
399.80,96.4325
400.00,96.6114
400.20,96.4189
400.40,96.4478
400.60,96.4165
400.80,96.6206
401.00,96.3957
401.20,96.4683
401.40,96.5824
401.60,96.4442
401.80,96.2466
402.00,96.4256
402.20,96.4499
402.40,96.5748
402.60,96.5895
402.80,96.6002
403.00,96.3920
403.20,96.4632
403.40,96.4262
403.60,96.4544
403.80,96.4528
404.00,96.4741
404.20,96.4689
404.40,96.4817
404.60,96.2807
404.80,96.6209
405.00,96.6893
405.20,96.5726
405.40,96.5406
405.60,96.5918
405.80,96.8014
406.00,96.5434
406.20,96.4188
406.40,96.5502
406.60,96.6342
406.80,96.5053
407.00,96.4652
407.20,96.4898
407.40,96.6327
407.60,96.7361
407.80,96.5783
408.00,95.9311
408.20,96.7850
408.40,96.4727
408.60,96.6759
408.80,96.5805
409.00,96.5407
409.20,96.5282
409.40,96.6465
409.60,96.4966
409.80,96.5387
410.00,96.6182
410.20,96.5516
410.40,96.6844
410.60,96.7198
410.80,96.6570
411.00,96.6469
411.20,96.7598
411.40,96.4713
411.60,96.6158
411.80,96.6415
412.00,96.5196
412.20,96.4157
412.40,95.9574
412.60,96.6376
412.80,96.5847
413.00,96.6224
413.20,96.5688
413.40,96.4362
413.60,96.5016
413.80,96.7699
414.00,96.4112
414.20,96.8014
414.40,96.6263
414.60,96.6996
414.80,96.6402
415.00,96.7056
415.20,96.6688
415.40,96.7556
415.60,96.5083
415.80,96.9337
416.00,96.6371
416.20,96.8474
416.40,96.6136
416.60,96.6515
416.80,96.5187
417.00,96.4726
417.20,96.7206
417.40,96.5133
417.60,96.5584
417.80,96.5662
418.00,96.4288
418.20,96.3042
418.40,96.5759
418.60,96.6659
418.80,96.5303
419.00,96.5806
419.20,96.5500
419.40,96.3616
419.60,96.4275
419.80,96.5239
420.00,96.5190
420.20,96.6334
420.40,96.4882
420.60,96.5836
420.80,96.4549
421.00,96.1292
421.20,96.3700
421.40,96.4910
421.60,96.5589
421.80,96.5445
422.00,96.7085
422.20,96.7629
422.40,96.6379
422.60,96.5921
422.80,96.6877
423.00,96.2700
423.20,96.6172
423.40,96.5936
423.60,96.6950
423.80,96.6424
424.00,96.5709
424.20,96.5066
424.40,96.5869
424.60,96.6367
424.80,96.5919
425.00,96.5017
425.20,96.5305
425.40,96.5660
425.60,96.6396
425.80,96.6944
426.00,96.6907
426.20,96.7700
426.40,96.6896
426.60,96.6622
