Batch,scan004_Borosilicate_EPA_vial_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Borosil_%T_190-800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:49:00PM
Entries,Data Points
nm,%T
329.40,93.0265
329.60,93.2537
329.80,93.4060
330.00,93.2621
330.20,93.3371
330.40,93.1266
330.60,93.3799
330.80,93.2805
331.00,93.6156
331.20,93.3631
331.40,93.6344
331.60,93.6723
331.80,93.7318
332.00,93.7013
332.20,93.7698
332.40,93.6908
332.60,93.8377
332.80,94.0006
333.00,94.0225
333.20,94.1671
333.40,94.1799
333.60,94.1893
333.80,93.9683
334.00,94.4944
334.20,94.1956
334.40,94.1278
334.60,94.3715
334.80,94.2755
335.00,94.4745
335.20,94.3975
335.40,94.5699
335.60,94.4269
335.80,94.5579
336.00,94.6598
336.20,94.4977
336.40,94.6276
336.60,94.6884
336.80,94.6006
337.00,94.5112
337.20,94.8412
337.40,94.8212
337.60,94.7947
337.80,94.6778
338.00,94.7221
338.20,94.8009
338.40,94.8907
338.60,94.9562
338.80,94.9563
339.00,95.2002
339.20,95.0895
339.40,95.0649
339.60,95.2105
339.80,95.0375
340.00,95.1125
340.20,95.1975
340.40,95.2248
340.60,95.0374
340.80,95.1949
341.00,95.1476
341.20,95.1993
341.40,95.3290
341.60,95.1750
341.80,95.2678
342.00,95.2128
342.20,95.2822
342.40,95.4690
342.60,95.3585
342.80,95.4216
343.00,95.5314
343.20,95.7078
343.40,95.5051
343.60,95.5504
343.80,95.4403
344.00,95.6019
344.20,95.7665
344.40,95.6444
344.60,95.7036
344.80,95.7201
345.00,95.9607
345.20,95.6527
345.40,95.8439
345.60,95.7117
345.80,95.9967
346.00,95.9275
346.20,95.8722
346.40,95.7847
346.60,95.8987
346.80,95.8661
347.00,95.9233
347.20,96.0458
347.40,95.9678
347.60,95.8775
347.80,95.8570
348.00,96.0740
348.20,96.0143
348.40,96.1529
348.60,96.1637
348.80,96.1937
349.00,96.1869
349.20,96.0196
349.40,95.9435
349.60,96.0379
349.80,96.1064
350.00,96.0191
350.20,96.0011
350.40,96.1296
350.60,96.2494
350.80,96.2940
351.00,96.1222
351.20,96.1790
