Wavelength [nm]	epsilon DHA [mol/L/cm]	"epsilon PC 22:0, 22:0 [mol/L/cm]"	"epsilon PC 22:1, 22:1 [mol/L/cm]"	"epsilon PC 22:6, 22:6 [mol/L/cm]"
270.6	158.5006	5.5885	2.5696	255.5546
270.8	159.1789	5.5526	2.5606	257.5744
271.0	160.2448	5.4897	2.5786	258.1013
271.2	161.6014	5.4358	2.5966	259.5065
271.4	162.0859	5.2561	2.5427	260.6481
271.6	162.9580	5.3279	2.5337	261.4385
271.8	163.6363	5.1752	2.4079	261.7019
272.0	164.1208	5.1572	2.5067	263.2827
272.2	165.1867	5.1572	2.5247	264.1609
272.4	165.9619	5.1303	2.5606	265.5660
272.6	167.4153	5.0494	2.5427	267.9371
272.8	168.7719	4.9686	2.5696	269.3422
273.0	169.6440	4.8877	2.5157	270.9230
273.2	170.9037	4.8428	2.5247	272.1525
273.4	171.0006	4.7978	2.5337	273.2941
273.6	172.6479	4.7350	2.5067	275.1383
273.8	173.1324	4.7170	2.5067	275.4018
274.0	173.5200	4.7080	2.5067	276.1043
274.2	174.3921	4.6810	2.4798	277.0703
274.4	174.3921	4.6900	2.4888	277.2460
274.6	175.1673	4.6181	2.5067	277.5094
274.8	175.1673	4.5642	2.4798	278.2120
275.0	174.9735	4.6002	2.4978	277.8607
275.2	174.5859	4.5193	2.4438	277.2460
275.4	174.6828	4.4834	2.4169	277.4216
275.6	174.0045	4.4115	2.3989	276.5434
275.8	173.7138	4.3666	2.4169	275.8409
276.0	172.5510	4.3396	2.4888	274.2601
276.2	172.6479	4.2947	2.3450	273.9088
276.4	171.4851	4.2677	2.4349	272.5916
276.6	170.2254	4.2049	2.3989	270.9230
276.8	168.7719	4.1869	2.3810	268.3762
277.0	167.8998	4.1509	2.3899	267.4980
277.2	166.6402	4.1240	2.3810	265.9173
277.4	165.3805	4.1060	2.3899	263.8974
277.6	164.0239	4.0881	2.3989	262.1410
277.8	162.6673	4.0791	2.3540	260.1212
278.0	161.0200	4.0252	2.3720	258.1013
278.2	159.3727	4.0701	2.4259	255.9059
278.4	157.6285	4.0252	2.4079	253.6226
278.6	156.6595	4.0072	2.3899	252.2174
278.8	154.4309	3.8904	2.3450	249.3194
279.0	153.4619	3.9353	2.3899	247.0361
279.2	151.6208	3.8814	2.3540	244.3137
279.4	150.9425	3.8634	2.4079	243.4355
279.6	149.1983	3.8185	2.3450	241.1522
279.8	147.7448	3.8275	2.3630	238.6054
280.0	146.3882	3.7556	2.3360	236.4099
280.2	145.1285	3.8365	2.3181	235.1805
280.4	144.2564	3.7466	2.3001	233.3363
280.6	142.7060	3.7466	2.3450	231.4921
280.8	141.8340	3.6748	2.2821	229.9991
281.0	141.5433	3.6478	2.3270	228.4184
281.2	140.4774	3.6568	2.3091	227.1889
281.4	139.3146	3.6388	2.3540	225.4325
281.6	139.7991	3.5220	2.2552	224.9934
281.8	139.2177	3.5580	2.3360	223.7639
282.0	138.3456	3.5040	2.2282	222.7101
282.2	138.0549	3.5130	2.2013	222.0954
282.4	137.8611	3.4861	2.2102	221.4806
282.6	137.8611	3.4591	2.2102	220.8659
282.8	137.7642	3.4322	2.1563	220.1633
283.0	137.4735	3.4951	2.2192	219.9877
283.2	137.5704	3.4232	2.1833	220.3390
283.4	136.9890	3.4861	2.2192	219.5486
283.6	138.0549	3.4412	2.1563	219.8121
283.8	138.1518	3.3783	2.1024	219.8121
284.0	138.1518	3.4232	2.1204	219.3730
284.2	138.3456	3.5130	2.1024	219.3730
284.4	138.6363	3.5580	2.0755	219.1973
284.6	138.7332	3.5580	1.9677	218.7582
284.8	139.2177	3.5580	2.0485	218.3191
285.0	138.8301	3.5939	2.0036	218.6704
285.2	138.9270	3.6208	2.0126	217.8800
285.4	138.9270	3.6298	1.9946	217.2653
285.6	138.8301	3.5849	1.9227	215.9480
285.8	139.0239	3.5849	1.9137	215.8602
286.0	138.7332	3.5939	1.9407	214.5429
286.2	138.4425	3.5400	1.8778	213.1378
286.4	138.1518	3.5400	1.8419	212.1718
286.6	137.5704	3.6029	1.8688	210.8545
286.8	137.0859	3.5400	1.7880	209.0103
287.0	135.9231	3.5759	1.8419	207.0782
287.2	135.7293	3.5310	1.7880	205.4097
287.4	134.3727	3.5580	1.7700	202.5995
287.6	133.5975	3.5490	1.7430	200.9309
287.8	132.6285	3.5669	1.7341	198.2963
288.0	131.4657	3.5759	1.7341	195.5739
288.2	130.1091	3.5220	1.7700	192.9393
288.4	127.9774	3.5400	1.7251	189.5144
288.6	126.6208	3.4861	1.6891	186.3529
288.8	124.5859	3.5669	1.7251	183.1035
289.0	122.3572	3.5580	1.7161	178.9760
289.2	120.3223	3.5310	1.6532	175.1998
289.4	117.8998	3.5759	1.6262	171.4236
289.6	116.0588	3.6029	1.6622	168.0864
289.8	113.4425	3.6388	1.6352	163.4320
290.0	111.0200	3.5849	1.6352	159.4801
290.2	108.5006	3.6029	1.5544	156.0552
290.4	105.6905	3.6298	1.6442	150.6982
290.6	103.3650	3.6119	1.5903	146.0437
290.8	100.3611	3.6119	1.6173	141.5649
291.0	98.3262	3.6478	1.6173	138.0522
291.2	95.2254	3.6478	1.5993	134.0125
291.4	93.1905	3.6119	1.5274	130.3241
291.6	90.1867	3.6208	1.5633	126.0209
291.8	87.2797	3.5669	1.5274	121.5421
292.0	84.6634	3.6658	1.6262	117.6781
292.2	82.1440	3.6298	1.5723	113.7262
292.4	79.8184	3.5939	1.5633	109.6865
292.6	77.3960	3.5669	1.5094	105.7346
292.8	74.5859	3.6388	1.5723	101.8706
293.0	71.7758	3.6119	1.5184	97.4796
293.2	69.4502	3.5759	1.5364	94.0546
293.4	66.7371	3.5669	1.4915	90.5418
293.6	64.4115	3.5310	1.5184	86.5022
293.8	62.5704	3.5220	1.5274	83.1650
294.0	60.2448	3.5490	1.5633	79.9157
294.2	58.3068	3.5310	1.5094	76.5786
294.4	55.6905	3.5400	1.4915	73.4171
294.6	54.1402	3.5040	1.4825	70.6947
294.8	52.5898	3.4771	1.4555	68.0601
295.0	50.2642	3.4501	1.4555	65.0742
295.2	48.3262	3.4052	1.4555	63.3178
295.4	47.6479	3.3962	1.4915	61.2980
295.6	46.2913	3.4232	1.4735	59.4538
295.8	44.3533	3.4142	1.4465	56.9070
296.0	43.0936	3.3783	1.4915	54.9750
296.2	41.7371	3.3693	1.4645	53.0429
296.4	40.3805	3.3783	1.5004	51.3744
296.6	38.8301	3.3872	1.4465	49.3545
296.8	37.7642	3.3243	1.4016	48.0372
297.0	37.7642	3.3513	1.4376	47.3347
297.2	36.0200	3.3513	1.4016	45.3148
297.4	35.4386	3.3603	1.4465	44.4366
297.6	34.3727	3.3423	1.4286	43.6463
297.8	33.4037	3.3783	1.4286	42.4168
298.0	32.9192	3.3243	1.3926	41.6264
298.2	32.2409	3.2525	1.3926	41.3630
298.4	31.5626	3.3783	1.4825	40.0457
298.6	30.7874	3.3154	1.4645	39.4309
298.8	30.6905	3.3333	1.4825	39.3431
299.0	30.3998	3.2794	1.4376	38.6406
299.2	29.1402	3.2435	1.4106	37.8502
299.4	28.7526	3.2704	1.4196	37.4989
299.6	28.6557	3.2435	1.4196	37.1476
299.8	27.7836	3.1896	1.4016	36.1816
300.0	27.2991	3.2255	1.4735	36.0938
300.2	27.2991	3.2075	1.4376	36.0060
300.4	26.7177	3.2075	1.4825	35.6547
300.6	26.4270	3.1896	1.4915	35.3912
300.8	25.9425	3.0907	1.4106	35.2156
301.0	25.7487	3.1447	1.4645	34.7765
301.2	25.4580	3.1087	1.4555	34.6009
301.4	25.7487	3.0818	1.3747	34.9521
301.6	24.9735	3.0818	1.4376	34.1618
301.8	24.1983	3.0638	1.4645	33.9861
302.0	24.5859	3.0189	1.4465	34.1618
302.2	24.1983	2.9919	1.4106	34.0739
302.4	23.7138	2.9829	1.4286	33.2836
302.6	23.8107	2.9829	1.4286	33.8983
302.8	23.2293	2.9829	1.4555	33.3714
303.0	22.6479	2.9560	1.4286	32.3176
303.2	22.4541	2.9470	1.4735	32.5810
303.4	22.2603	2.9021	1.4016	32.5810
303.6	22.0665	2.9290	1.4465	32.4054
303.8	21.4851	2.9380	1.4735	31.8785
304.0	21.5820	2.9380	1.4735	31.9663
304.2	21.0975	2.9111	1.4645	31.6150
304.4	20.8068	2.8751	1.4286	31.6150
304.6	19.8378	2.7942	1.3747	30.5612
304.8	20.6130	2.8122	1.4016	31.0003
305.0	20.1285	2.8571	1.4196	30.7368
305.2	20.1285	2.7942	1.3836	30.1221
305.4	19.1595	2.7942	1.4286	29.6830
305.6	18.9657	2.7583	1.4106	29.5073
305.8	18.4812	2.7134	1.4016	28.8048
306.0	18.9657	2.7134	1.4465	28.5413
306.2	18.4812	2.7134	1.3836	28.3657
306.4	18.1905	2.6595	1.4106	28.1900
306.6	17.7060	2.6146	1.4016	27.5753
306.8	17.3184	2.6325	1.4196	26.7849
307.0	17.5122	2.5876	1.4016	27.0484
307.2	16.7371	2.5966	1.3747	26.4337
307.4	16.2526	2.5696	1.3836	25.6433
307.6	16.6402	2.5606	1.3926	25.9067
307.8	15.8650	2.5517	1.4106	25.1164
308.0	15.4774	2.5247	1.4016	24.6773
308.2	15.5743	2.4888	1.3836	24.0625
308.4	15.3805	2.5247	1.4196	23.7991
308.6	14.4115	2.4978	1.3836	23.1843
308.8	14.2177	2.4708	1.3747	23.0087
309.0	14.4115	2.5247	1.4016	22.9209
309.2	14.0239	2.5247	1.4196	22.4818
309.4	13.7332	2.4888	1.3836	22.1305
309.6	13.4425	2.5966	1.4196	22.0427
309.8	13.5394	2.5247	1.3747	21.8670
310.0	13.0549	2.5786	1.4465	21.3401
310.2	12.8611	2.5247	1.3657	21.3401
310.4	12.8611	2.5157	1.3387	21.2523
310.6	12.6673	2.5157	1.3477	21.0767
310.8	12.3766	2.4708	1.3657	20.8132
311.0	12.3766	2.4438	1.3657	20.9010
311.2	12.2797	2.3899	1.3387	20.5497
311.4	12.2797	2.3899	1.3657	20.9010
311.6	12.1828	2.3540	1.3567	20.8132
311.8	11.8921	2.3270	1.3387	20.5497
312.0	11.9890	2.2552	1.3387	20.9888
312.2	11.6983	2.2462	1.3387	20.8132
312.4	11.8921	2.2642	1.3477	21.1645
