Wavelength [nm]	DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	Uncertainty in DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	DAC down [1/m] (fitted)
473.4	0.14	0.02	
473.8	0.14	0.02	
474.1	0.14	0.02	
474.5	0.14	0.02	
474.8	0.14	0.02	
475.2	0.14	0.02	
475.5	0.14	0.02	
475.9	0.14	0.02	
476.2	0.14	0.02	
476.6	0.14	0.02	
476.9	0.13	0.02	
477.3	0.13	0.02	
477.7	0.13	0.02	
478.0	0.13	0.02	
478.4	0.13	0.02	
478.7	0.13	0.02	
479.1	0.13	0.02	
479.4	0.13	0.02	
479.8	0.13	0.02	
480.1	0.13	0.02	
480.5	0.13	0.02	
480.8	0.13	0.02	
481.2	0.13	0.02	
481.5	0.13	0.02	
481.9	0.13	0.01	
482.2	0.13	0.01	
482.6	0.13	0.01	
482.9	0.13	0.02	
483.3	0.13	0.02	
483.7	0.13	0.02	
484.0	0.13	0.01	
484.4	0.13	0.01	
484.7	0.13	0.02	
485.1	0.13	0.01	
485.4	0.13	0.01	
485.8	0.13	0.02	
486.1	0.13	0.02	
486.5	0.13	0.02	
486.8	0.13	0.01	
487.2	0.13	0.01	
487.5	0.13	0.01	
487.9	0.13	0.01	
488.2	0.13	0.01	
488.6	0.13	0.01	
488.9	0.13	0.01	
489.3	0.13	0.01	
489.6	0.13	0.01	
490.0	0.13	0.01	
490.3	0.13	0.01	
490.7	0.13	0.01	
491.1	0.13	0.01	
491.4	0.13	0.01	
491.8	0.13	0.01	
492.1	0.13	0.01	
492.5	0.13	0.01	
492.8	0.13	0.01	
493.2	0.13	0.01	
493.5	0.13	0.01	
493.9	0.13	0.01	
494.2	0.13	0.01	
494.6	0.13	0.01	
494.9	0.13	0.01	
495.3	0.13	0.01	
495.6	0.13	0.01	
496.0	0.13	0.01	
496.3	0.13	0.01	
496.7	0.13	0.01	
497.0	0.13	0.01	
497.4	0.13	0.01	
497.7	0.13	0.01	
498.1	0.13	0.01	
498.4	0.13	0.01	
498.8	0.13	0.01	
499.1	0.12	0.01	
499.5	0.12	0.01	
499.8	0.12	0.01	
500.2	0.12	0.01	
500.5	0.12	0.01	
500.9	0.12	0.01	
501.2	0.12	0.01	
501.6	0.12	0.01	
501.9	0.12	0.01	
502.3	0.12	0.01	
502.6	0.12	0.01	
503.0	0.12	0.01	
503.3	0.12	0.01	
503.7	0.12	0.01	
504.0	0.12	0.01	
504.4	0.12	0.01	
504.7	0.12	0.01	
505.1	0.12	0.01	
505.4	0.12	0.01	
505.8	0.12	0.01	
506.1	0.12	0.01	
506.5	0.12	0.01	
506.8	0.12	0.01	
507.2	0.12	0.01	
507.5	0.12	0.01	
507.9	0.12	0.01	
508.2	0.12	0.01	
508.6	0.12	0.01	
508.9	0.12	0.01	
509.3	0.12	0.01	
509.6	0.12	0.01	
510.0	0.12	0.01	
510.3	0.12	0.01	
510.7	0.12	0.01	
511.0	0.12	0.01	
511.4	0.12	0.01	
511.7	0.12	0.01	
512.1	0.12	0.01	
512.4	0.12	0.01	
512.8	0.12	0.01	
513.1	0.12	0.01	
513.5	0.12	0.01	
513.8	0.12	0.01	
514.2	0.12	0.01	
514.5	0.12	0.01	
514.9	0.12	0.01	
515.2	0.12	0.01	
515.6	0.12	0.01	
515.9	0.11	0.01	
516.3	0.11	0.01	
516.6	0.11	0.01	
517.0	0.11	0.01	
517.3	0.11	0.01	
517.7	0.11	0.01	
518.0	0.11	0.01	
518.4	0.11	0.01	
518.7	0.11	0.01	
519.1	0.11	0.01	
519.4	0.11	0.01	
519.8	0.11	0.01	
520.1	0.11	0.01	
520.5	0.11	0.01	
520.8	0.11	0.01	
521.2	0.11	0.01	
521.5	0.11	0.01	
521.9	0.11	0.01	
522.2	0.11	0.01	
522.6	0.11	0.01	
522.9	0.11	0.01	
523.3	0.11	0.01	
523.6	0.11	0.01	
524.0	0.11	0.01	
524.3	0.11	0.01	
524.6	0.11	0.01	
525.0	0.11	0.01	
525.3	0.11	0.01	
525.7	0.11	0.01	
526.0	0.11	0.01	
526.4	0.11	0.01	
526.7	0.11	0.01	
527.1	0.10	0.01	
527.4	0.10	0.01	
527.8	0.10	0.01	
528.1	0.10	0.01	
528.5	0.10	0.01	
528.8	0.10	0.01	
529.2	0.10	0.01	
529.5	0.10	0.01	
529.9	0.10	0.01	
530.2	0.10	0.01	
530.6	0.10	0.01	
530.9	0.10	0.01	
531.3	0.10	0.01	
531.6	0.10	0.01	
531.9	0.10	0.01	
532.3	0.10	0.01	
532.6	0.10	0.01	
533.0	0.10	0.01	
533.3	0.10	0.01	
533.7	0.10	0.01	
534.0	0.10	0.01	
534.4	0.10	0.01	
534.7	0.10	0.01	
535.1	0.10	0.01	
535.4	0.10	0.01	
535.8	0.10	0.01	
536.1	0.10	0.01	
536.5	0.10	0.01	
536.8	0.10	0.01	
537.2	0.10	0.01	
537.5	0.10	0.01	
537.8	0.10	0.01	
538.2	0.10	0.01	
538.5	0.10	0.01	
538.9	0.10	0.01	
539.2	0.10	0.01	
539.6	0.10	0.01	
539.9	0.10	0.01	
540.3	0.10	0.01	
540.6	0.10	0.01	
541.0	0.10	0.01	
541.3	0.10	0.01	
541.7	0.10	0.01	
542.0	0.10	0.01	
542.3	0.10	0.01	
542.7	0.10	0.01	
543.0	0.10	0.01	
543.4	0.10	0.01	
543.7	0.10	0.00	
544.1	0.10	0.00	
