"","Wavelength_nm","Kd_per_meter","Kd_per_meter.sd","Kd_per_meter_fitted"
"360.093445",360.093445,0.161156723507678,0.0204685628091777,0.173078183181464
"360.458771",360.458771,0.160836490098595,0.0204533376924876,0.172140193309281
"360.824005",360.824005,0.162048881448417,0.0199785318935822,0.171207521129542
"361.189209",361.189209,0.160652201236537,0.0199322179576487,0.170279978244711
"361.554443",361.554443,0.159843041669657,0.0197941280204089,0.169357384889712
"361.919556",361.919556,0.158474133313108,0.0198305697467156,0.168440093403816
"362.284698",362.284698,0.158104277849296,0.0195216214911283,0.167527697982754
"362.64978",362.64978,0.157975392946274,0.0194261874573818,0.166620393474156
"363.014832",363.014832,0.158657595182967,0.0188905009270218,0.165718076739946
"363.379913",363.379913,0.158584314956646,0.0189677031548782,0.164820575316204
"363.744873",363.744873,0.157637333199031,0.0192713661008366,0.163928229658793
"364.109833",364.109833,0.157145656320736,0.0189210542934072,0.163040715199009
"364.474731",364.474731,0.157485392092289,0.0182190856334969,0.162158155330055
"364.83963",364.83963,0.156906146839199,0.0184636351280389,0.161280370469488
"365.204468",365.204468,0.157083274682289,0.0181619524266221,0.160407482730524
"365.569305",365.569305,0.157352444254663,0.0180535743694202,0.159539321640829
"365.934052",365.934052,0.157827415138238,0.0177489887854293,0.15867607165902
"366.298859",366.298859,0.157692723173375,0.0178195164160555,0.157817351778001
"366.663544",366.663544,0.15767898981259,0.0178694340282273,0.156963563947359
"367.028259",367.028259,0.156858979973162,0.0179156963838391,0.156114325421339
"367.392914",367.392914,0.156494438123367,0.0183298222587473,0.155269820208447
"367.757507",367.757507,0.157878731620826,0.0180673835424547,0.154430025794593
"368.122101",368.122101,0.158041243251073,0.018548769245574,0.15359477121926
"368.486664",368.486664,0.157950503403097,0.0185533729284695,0.152764104668252
"368.851135",368.851135,0.157574803542631,0.0188208823466149,0.151938138428841
"369.215668",369.215668,0.157132302960489,0.0190627844042042,0.151116498664071
"369.580078",369.580078,0.156422213192033,0.0191455155798303,0.1502995770919
"369.944519",369.944519,0.155782406899318,0.0192706907756355,0.149487002789026
"370.308899",370.308899,0.154941487323019,0.0190929926805061,NA
"370.673218",370.673218,0.154232078876498,0.019197299626995,NA
"371.037537",371.037537,0.153873434578983,0.0193621962954983,NA
"371.401825",371.401825,0.153529095569075,0.0188937193369277,NA
"371.766052",371.766052,0.152685643167791,0.0187040665319067,NA
"372.13031",372.13031,0.152331190390157,0.0185223709992871,NA
"372.494446",372.494446,0.151474923562612,0.0187878074477229,NA
"372.858582",372.858582,0.151572056905075,0.0184884505600339,NA
"373.222687",373.222687,0.15221025571673,0.0182550115295284,NA
"373.586731",373.586731,0.152686831640602,0.0180546283443029,NA
"373.950806",373.950806,0.152760695795504,0.0183988483352497,NA
"374.314789",374.314789,0.152618702816864,0.0190805958788619,NA
"374.678741",374.678741,0.152832677308586,0.0189993597790368,NA
"375.042725",375.042725,0.153307591946924,0.0189634217278233,NA
"375.406586",375.406586,0.153503372733086,0.018972076508368,NA
"375.770477",375.770477,0.154182630493082,0.0188447258299252,NA
"376.134308",376.134308,0.154790920148571,0.0188137220871482,NA
"376.498077",376.498077,0.154859978178678,0.0187716755515396,NA
"376.861847",376.861847,0.154864871977215,0.0187181935423311,NA
"377.225586",377.225586,0.154135699580149,0.019324999483711,NA
"377.589264",377.589264,0.154046811384795,0.0194939816973887,NA
"377.952942",377.952942,0.154058996438517,0.01961374088607,NA
"378.316528",378.316528,0.15443178411151,0.0195398156575466,NA
"378.680145",378.680145,0.155124680170996,0.0192719499243475,NA
"379.043701",379.043701,0.154808636348055,0.0192453077980017,NA
"379.407196",379.407196,0.155434081378822,0.0191730365036487,NA
"379.770691",379.770691,0.155049884904532,0.0194972305533026,NA
"380.134155",380.134155,0.154904216621389,0.0197431769212012,NA
"380.497559",380.497559,0.155143269686466,0.0196844723508237,NA
"380.860962",380.860962,0.154834332368803,0.0199560005165734,NA
"381.224304",381.224304,0.155821994183916,0.0193648820116735,NA
"381.587585",381.587585,0.155940566383154,0.0191505472069301,NA
"381.950897",381.950897,0.156465605531407,0.0186382224211448,NA
"382.314117",382.314117,0.155967284379887,0.0187330302108825,NA
"382.677338",382.677338,0.155212353717278,0.0192077846395746,NA
"383.040527",383.040527,0.155284822840452,0.0190967445675031,NA
"383.403625",383.403625,0.154296025609508,0.0196205539219942,NA
"383.766754",383.766754,0.154207026031218,0.0195754826490795,NA
"384.129822",384.129822,0.153964581913042,0.0196210012077518,NA
"384.492828",384.492828,0.154198253467614,0.0195796787124516,NA
"384.855865",384.855865,0.154544076671574,0.01910162456557,NA
"385.218811",385.218811,0.154035335431568,0.0193470827992544,NA
"385.581757",385.581757,0.154147351912953,0.019254155068552,NA
"385.944672",385.944672,0.15357268480578,0.0194529779966949,NA
"386.307495",386.307495,0.154290209520095,0.0190045313399585,NA
"386.670319",386.670319,0.154484169284121,0.0187455588146263,NA
"387.033142",387.033142,0.154677840590033,0.0187346985483627,NA
"387.395874",387.395874,0.155027900015454,0.0183858114748003,NA
"387.758636",387.758636,0.15437182057153,0.0184693399805444,NA
"388.121277",388.121277,0.153911723991561,0.0186528902378661,NA
"388.483917",388.483917,0.153145562185535,0.0189853872535737,NA
